convergencia,factorial_A,factorial_B,factorial_C,mean_opinion_final,motor,param,polarization_index,seed,std_opinion_final,tiempo_ms,value
False,,,,0.210679,simulator,homofilia_tasa,0.063679,45,0.063679,43.6,0.6000000000000001
False,,,,0.3216,simulator,homofilia_tasa,0.082725,46,0.082725,42.3,0.6000000000000001
False,,,,0.135888,simulator,homofilia_tasa,0.071995,42,0.071995,42.4,0.7000000000000001
False,,,,0.746324,simulator,homofilia_tasa,0.051226,43,0.051226,42.8,0.7000000000000001
False,,,,0.310063,simulator,homofilia_tasa,0.171976,44,0.171976,40.7,0.7000000000000001
False,,,,0.210679,simulator,homofilia_tasa,0.063679,45,0.063679,42.8,0.7000000000000001
False,,,,0.3216,simulator,homofilia_tasa,0.082725,46,0.082725,41.9,0.7000000000000001
False,,,,0.135888,simulator,homofilia_tasa,0.071995,42,0.071995,42.6,0.8
False,,,,0.746324,simulator,homofilia_tasa,0.051226,43,0.051226,43.0,0.8
False,,,,0.310063,simulator,homofilia_tasa,0.171976,44,0.171976,41.0,0.8
False,,,,0.210679,simulator,homofilia_tasa,0.063679,45,0.063679,42.9,0.8
False,,,,0.3216,simulator,homofilia_tasa,0.082725,46,0.082725,42.1,0.8
False,,,,0.135888,simulator,homofilia_tasa,0.071995,42,0.071995,42.3,0.9
False,,,,0.746324,simulator,homofilia_tasa,0.051226,43,0.051226,42.7,0.9
False,,,,0.310063,simulator,homofilia_tasa,0.171976,44,0.171976,41.3,0.9
False,,,,0.210679,simulator,homofilia_tasa,0.063679,45,0.063679,42.3,0.9
False,,,,0.3216,simulator,homofilia_tasa,0.082725,46,0.082725,42.0,0.9
False,,,,0.135888,simulator,homofilia_tasa,0.071995,42,0.071995,42.3,1.0
False,,,,0.746324,simulator,homofilia_tasa,0.051226,43,0.051226,42.7,1.0
False,,,,0.310063,simulator,homofilia_tasa,0.171976,44,0.171976,40.6,1.0
False,,,,0.210679,simulator,homofilia_tasa,0.063679,45,0.063679,43.0,1.0
False,,,,0.3216,simulator,homofilia_tasa,0.082725,46,0.082725,42.3,1.0
False,,,,0.050275,massive_engine,layer_weights,0.56688,42,0.56688,2158.9,"(1, 0, 0)"
False,,,,-0.139648,massive_engine,layer_weights,0.53734,43,0.53734,2.5,"(1, 0, 0)"
False,,,,0.116569,massive_engine,layer_weights,0.595749,44,0.595749,2.4,"(1, 0, 0)"
False,,,,0.089294,massive_engine,layer_weights,0.587416,45,0.587416,2.7,"(1, 0, 0)"
False,,,,-0.003728,massive_engine,layer_weights,0.538163,46,0.538163,2.2,"(1, 0, 0)"
False,,,,0.052122,massive_engine,layer_weights,0.570859,42,0.570859,2.4,"(0, 1, 0)"
False,,,,-0.134625,massive_engine,layer_weights,0.538569,43,0.538569,2.2,"(0, 1, 0)"
False,,,,0.10712,massive_engine,layer_weights,0.599011,44,0.599011,2.5,"(0, 1, 0)"
False,,,,0.091534,massive_engine,layer_weights,0.581403,45,0.581403,2.2,"(0, 1, 0)"
False,,,,0.002161,massive_engine,layer_weights,0.531123,46,0.531123,2.1,"(0, 1, 0)"
False,,,,0.073963,massive_engine,layer_weights,0.566279,42,0.566279,2.6,"(0, 0, 1)"
False,,,,-0.116002,massive_engine,layer_weights,0.537978,43,0.537978,2.2,"(0, 0, 1)"
False,,,,0.076825,massive_engine,layer_weights,0.598389,44,0.598389,2.3,"(0, 0, 1)"
False,,,,0.091112,massive_engine,layer_weights,0.58286,45,0.58286,2.2,"(0, 0, 1)"
False,,,,0.038407,massive_engine,layer_weights,0.535418,46,0.535418,2.5,"(0, 0, 1)"
False,,,,0.051227,massive_engine,layer_weights,0.568715,42,0.568715,2.2,"(0.5, 0.5, 0)"
False,,,,-0.137139,massive_engine,layer_weights,0.537768,43,0.537768,2.1,"(0.5, 0.5, 0)"
False,,,,0.111783,massive_engine,layer_weights,0.597247,44,0.597247,2.5,"(0.5, 0.5, 0)"
False,,,,0.09044,massive_engine,layer_weights,0.584279,45,0.584279,2.2,"(0.5, 0.5, 0)"
False,,,,-0.000764,massive_engine,layer_weights,0.534319,46,0.534319,2.2,"(0.5, 0.5, 0)"
False,,,,0.062353,massive_engine,layer_weights,0.566498,42,0.566498,2.3,"(0.5, 0, 0.5)"
False,,,,-0.12783,massive_engine,layer_weights,0.537584,43,0.537584,5.4,"(0.5, 0, 0.5)"
False,,,,0.09637,massive_engine,layer_weights,0.597134,44,0.597134,2.2,"(0.5, 0, 0.5)"
False,,,,0.090309,massive_engine,layer_weights,0.585051,45,0.585051,2.2,"(0.5, 0, 0.5)"
False,,,,0.017491,massive_engine,layer_weights,0.536758,46,0.536758,2.5,"(0.5, 0, 0.5)"
False,,,,0.063168,massive_engine,layer_weights,0.568492,42,0.568492,2.2,"(0, 0.5, 0.5)"
False,,,,-0.125256,massive_engine,layer_weights,0.538185,43,0.538185,2.1,"(0, 0.5, 0.5)"
False,,,,0.09181,massive_engine,layer_weights,0.598674,44,0.598674,2.2,"(0, 0.5, 0.5)"
False,,,,0.09131,massive_engine,layer_weights,0.582068,45,0.582068,2.5,"(0, 0.5, 0.5)"
False,,,,0.0205,massive_engine,layer_weights,0.533147,46,0.533147,2.1,"(0, 0.5, 0.5)"
False,,,,0.058107,massive_engine,layer_weights,0.567752,42,0.567752,2.1,"(0.4, 0.3, 0.3)"
False,,,,-0.13103,massive_engine,layer_weights,0.537743,43,0.537743,2.5,"(0.4, 0.3, 0.3)"
False,,,,0.101566,massive_engine,layer_weights,0.597478,44,0.597478,2.2,"(0.4, 0.3, 0.3)"
False,,,,0.09057,massive_engine,layer_weights,0.584118,45,0.584118,2.2,"(0.4, 0.3, 0.3)"
False,,,,0.01084,massive_engine,layer_weights,0.535013,46,0.535013,2.4,"(0.4, 0.3, 0.3)"
False,,,,0.059113,massive_engine,layer_weights,0.56785,42,0.56785,2.2,"(0.33, 0.33, 0.34)"
False,,,,-0.129928,massive_engine,layer_weights,0.537809,43,0.537809,2.0,"(0.33, 0.33, 0.34)"
False,,,,0.099691,massive_engine,layer_weights,0.597683,44,0.597683,2.2,"(0.33, 0.33, 0.34)"
False,,,,0.090704,massive_engine,layer_weights,0.583759,45,0.583759,2.6,"(0.33, 0.33, 0.34)"
False,,,,0.012716,massive_engine,layer_weights,0.534696,46,0.534696,2.2,"(0.33, 0.33, 0.34)"
False,,,,0.060654,massive_engine,layer_weights,0.568106,42,0.568106,2.3,"(0.2, 0.4, 0.4)"
False,,,,-0.128146,massive_engine,layer_weights,0.537947,43,0.537947,2.5,"(0.2, 0.4, 0.4)"
False,,,,0.096664,massive_engine,layer_weights,0.598072,44,0.598072,2.2,"(0.2, 0.4, 0.4)"
